,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0,0.62,0.03,0.1,0.28,0.43,0.67,0.38,0.12,0.15,0.88,0.72,0.89,0.43,0.36,0.43,0.66,0.16
1,0.12,0.87,0.43,0.28,0.02,0.23,0.82,0.14,0.81,0.68,0.53,0.24,0.05,0.01,0.96,0.98,0.34
2,0.37,0.06,0.47,0.86,0.86,0.33,0.01,0.9,0.79,0.43,0.64,0.84,0.05,0.56,0.01,0.77,0.62
3,0.57,0.39,0.65,0.76,0.83,0.92,0.57,0.6,0.34,0.35,0.44,0.93,0.44,0.65,0.61,0.25,0.96
4,0.82,0.0,0.26,0.27,0.82,0.68,0.43,0.92,0.81,0.26,0.66,0.04,0.1,0.93,0.82,0.37,0.09
5,0.78,0.32,0.62,0.51,0.82,0.7,0.6,0.39,0.01,0.6,0.28,0.02,0.53,0.22,0.89,0.86,0.32
6,0.75,0.71,0.66,0.43,0.55,0.42,0.54,0.8,0.23,0.61,0.87,0.64,0.36,0.71,0.75,0.67,0.17
7,0.19,0.58,0.38,0.99,0.56,0.41,0.52,0.53,0.99,0.92,0.43,0.48,0.14,0.64,0.08,0.64,0.32
8,0.75,0.82,0.47,0.86,0.46,0.99,0.88,0.17,0.55,0.83,0.78,0.1,0.78,0.57,0.22,0.48,0.13
9,0.52,0.03,0.7,0.85,0.18,0.57,0.07,0.58,0.3,0.85,0.93,0.13,0.99,0.48,0.39,0.37,0.95
10,0.51,0.76,0.53,0.24,0.81,0.11,0.87,0.49,0.37,0.31,0.5,0.79,0.07,0.72,0.98,0.3,0.7
11,0.36,0.68,0.36,0.39,0.77,0.23,0.79,0.77,0.11,0.5,0.34,0.51,0.47,0.15,0.2,0.55,0.29
12,0.26,0.29,0.69,0.73,0.28,0.73,0.67,0.18,0.71,0.53,0.43,0.95,0.74,0.03,0.63,0.49,0.78
13,0.09,0.18,0.83,0.21,0.64,0.2,0.55,0.08,0.25,0.78,0.33,0.06,0.47,0.11,0.24,0.99,1.0
14,0.77,0.69,0.75,0.56,0.8,0.57,0.94,0.61,0.11,0.93,0.32,0.36,0.35,0.4,0.53,0.16,0.35
15,0.26,0.46,0.26,0.55,0.57,0.58,0.93,0.49,0.98,0.01,0.43,0.91,0.23,0.42,0.32,0.89,0.14
16,0.93,0.82,0.86,0.87,0.93,0.19,0.23,0.4,0.83,0.32,0.41,0.36,0.12,0.66,0.61,0.19,0.17
17,0.67,0.7,0.33,0.21,0.46,0.5,0.44,0.48,0.86,0.24,0.89,0.13,0.65,0.51,0.95,0.5,0.0
18,0.08,0.31,0.5,0.18,0.51,0.07,0.39,0.36,0.62,0.37,0.48,0.65,0.62,0.06,0.63,0.11,0.31
19,0.12,0.63,0.31,0.26,0.68,0.21,0.01,0.62,0.44,0.38,0.07,0.29,0.26,0.75,0.47,0.86,0.62
20,0.48,0.57,0.35,0.46,0.67,0.55,0.08,0.05,0.32,0.71,0.04,0.29,0.01,0.62,0.9,0.19,0.8
21,0.11,0.8,0.09,0.28,0.46,0.01,0.95,0.7,0.7,0.08,0.05,0.67,0.21,0.25,0.46,0.86,0.0
22,0.42,0.92,0.21,0.84,0.16,0.11,0.4,0.28,0.16,0.58,0.11,0.1,0.2,0.36,0.88,0.11,0.86
23,0.98,0.93,0.72,0.55,0.28,0.49,0.46,0.29,0.58,0.41,0.43,0.57,0.43,0.07,0.41,0.91,0.53
24,0.52,1.0,0.35,0.4,0.26,0.03,0.14,0.04,0.94,0.72,0.99,0.31,0.12,0.63,0.93,0.17,0.78
25,0.29,0.93,0.12,0.38,0.92,0.86,0.39,0.87,0.16,0.74,0.79,0.72,0.04,0.47,0.61,0.45,0.32
26,0.47,0.43,0.93,0.35,0.32,0.24,0.01,0.93,0.95,0.92,0.47,0.03,0.82,0.18,0.75,0.07,0.61
27,0.1,0.46,0.22,0.84,0.26,0.95,0.3,0.28,0.78,0.85,0.68,0.13,0.39,0.17,0.58,0.59,0.29
28,0.99,0.51,0.75,0.72,0.94,0.02,0.8,0.28,0.3,0.87,0.72,0.84,0.33,0.42,0.75,0.64,0.14
29,0.8,0.37,0.55,0.8,0.27,0.55,0.66,0.68,0.96,0.49,0.65,0.46,0.42,0.07,0.35,0.5,0.65
30,0.76,0.5,0.09,0.94,0.34,0.8,0.82,0.98,0.74,0.21,0.81,0.58,0.84,0.8,0.38,0.94,0.34
31,0.12,0.42,0.57,0.97,0.69,0.04,0.97,0.36,0.91,0.25,0.22,0.38,0.43,0.54,0.6,0.95,0.65
32,0.79,0.44,0.02,0.86,0.82,0.43,0.25,0.27,0.04,0.08,0.63,0.34,0.85,0.33,0.07,0.19,0.37
33,0.91,0.74,0.02,0.34,0.91,0.27,0.3,0.61,0.54,0.82,0.79,0.65,0.15,0.38,0.97,0.61,0.91
34,0.82,0.37,0.13,0.02,0.1,0.88,0.31,0.68,0.11,0.05,0.75,0.41,0.01,0.05,0.67,0.51,0.02
35,0.8,0.1,0.43,0.09,0.25,0.53,0.21,0.66,0.21,0.97,0.69,0.63,0.93,0.13,0.22,0.76,0.99
36,0.04,0.22,0.76,0.89,0.57,0.42,0.81,0.12,0.54,0.02,0.8,0.63,0.62,0.02,0.72,0.02,0.61
37,0.38,0.61,0.16,0.99,0.06,0.39,0.67,0.05,0.32,0.65,0.68,0.71,0.61,0.14,0.04,0.04,0.18
38,0.38,0.14,0.81,0.41,0.84,0.35,0.36,0.83,0.61,0.19,0.61,0.36,0.01,0.8,0.09,0.04,0.79
39,0.09,0.89,0.85,0.57,0.69,0.96,0.61,0.8,0.01,0.05,0.82,0.33,0.21,0.17,0.7,0.56,0.89
40,0.85,0.51,0.9,0.36,0.63,0.24,0.38,0.01,0.25,0.72,0.77,0.62,0.08,0.86,0.26,0.86,0.5
41,0.95,0.88,0.16,0.46,0.75,0.56,0.54,0.59,0.41,0.82,0.18,0.73,0.64,0.38,0.16,0.05,0.43
42,0.04,0.03,0.43,0.73,0.11,0.55,0.99,0.81,0.24,0.48,0.02,0.12,0.26,0.98,0.78,0.29,0.53
43,0.38,0.09,0.62,0.7,0.08,0.76,0.47,0.15,0.4,0.66,0.99,0.46,0.73,0.51,0.0,0.87,0.95
44,0.73,0.8,0.8,0.64,0.27,0.76,0.26,0.3,0.44,0.4,0.13,0.23,0.0,0.83,0.18,0.59,0.51
45,0.09,0.15,0.86,0.65,0.28,0.23,0.03,0.85,0.03,0.94,0.34,0.81,0.43,0.56,0.28,0.09,0.49
46,0.9,0.45,0.23,0.37,0.45,0.8,0.32,0.77,0.47,0.2,0.54,0.82,0.31,0.94,0.61,0.13,0.04
47,0.46,0.69,0.93,0.19,0.8,0.34,0.58,0.23,0.79,0.31,0.45,0.72,0.44,0.2,0.49,0.35,0.87
48,0.07,0.25,0.39,0.91,0.96,0.57,0.74,0.17,0.56,0.74,0.56,0.73,0.48,0.18,0.27,0.23,0.97
49,0.79,0.12,0.04,0.43,0.67,0.23,0.99,0.62,0.5,0.74,0.6,0.17,0.85,0.54,0.01,0.92,0.5
50,0.65,0.78,0.16,0.75,0.4,0.19,0.19,0.17,0.42,0.63,0.43,0.16,0.92,0.59,0.72,0.01,0.38
51,0.44,0.28,0.84,0.57,0.89,0.52,0.14,0.6,0.76,0.29,0.51,0.5,0.99,0.98,0.07,0.92,0.21
52,0.14,0.92,0.15,0.93,0.14,0.06,0.32,0.23,0.21,0.52,0.11,0.77,0.4,0.24,0.87,0.71,0.43
53,0.6,0.36,0.81,0.61,0.79,0.8,0.09,0.32,0.26,0.27,0.38,0.04,0.63,0.41,0.45,0.88,0.48
54,1.0,0.43,0.2,0.71,0.89,0.81,0.96,0.94,0.34,1.0,0.65,0.61,0.29,0.92,0.13,0.19,0.21
55,0.93,0.43,0.06,0.62,0.54,0.47,0.6,0.8,0.04,0.21,0.3,0.77,0.61,0.15,0.01,0.16,0.79
56,0.34,0.2,0.81,0.28,0.39,0.21,0.0,0.35,0.26,0.01,0.61,0.78,0.76,0.07,0.61,0.43,0.47
57,0.75,0.35,0.15,0.12,0.45,0.64,0.85,0.97,0.42,0.02,0.33,0.25,0.61,0.2,0.95,0.32,0.38
58,0.63,0.06,0.9,0.72,0.41,0.78,0.37,0.88,0.47,0.1,0.93,0.8,0.3,0.94,0.98,0.26,0.81
59,0.28,0.17,0.03,0.66,0.46,0.94,0.09,0.11,0.33,0.73,0.0,0.36,0.43,0.14,0.1,0.48,0.53
60,0.45,0.17,0.09,0.8,0.19,0.17,0.19,0.23,0.38,0.08,0.74,0.21,0.84,0.33,0.99,0.89,0.23
61,0.43,0.26,0.76,0.15,0.67,0.7,0.25,0.35,0.56,0.23,0.7,0.96,0.53,0.28,0.18,0.51,0.77
62,0.0,1.0,0.05,0.91,0.66,0.7,0.46,0.56,0.68,0.62,0.26,0.81,0.29,0.86,0.37,0.54,0.49
63,0.81,0.22,0.98,0.84,0.0,0.15,0.9,0.31,0.35,0.94,0.43,0.1,0.02,0.04,0.69,0.51,0.94
64,0.94,0.27,0.31,0.29,0.6,0.14,0.04,0.18,0.06,0.97,0.2,0.55,0.39,0.55,0.62,0.57,0.97
65,0.38,0.04,0.69,0.65,0.39,0.44,0.17,0.09,0.22,0.28,0.49,0.89,0.35,0.15,0.39,0.94,0.52
66,0.19,0.01,0.24,0.92,0.81,0.57,0.77,0.43,0.2,0.85,0.71,0.43,0.36,0.11,0.3,0.48,0.92
67,0.93,0.6,0.95,0.88,0.1,0.66,0.97,0.76,0.24,0.97,0.29,0.63,0.47,0.99,0.04,0.04,0.87
68,0.64,0.12,0.38,0.57,0.44,0.63,0.47,0.25,0.45,0.18,0.41,0.46,0.47,0.99,0.97,0.14,0.93
69,0.92,0.43,0.88,0.82,0.88,0.53,0.89,0.1,0.05,0.98,0.11,0.74,0.06,0.0,0.71,0.57,0.86
70,0.87,0.15,0.24,0.22,0.76,0.93,0.69,0.09,0.93,1.0,0.86,0.19,0.95,0.93,0.74,0.57,0.45
71,0.34,0.38,0.3,0.91,0.85,0.77,0.24,0.69,0.08,0.24,0.34,0.83,0.39,0.44,0.15,0.64,0.73
72,0.32,0.59,0.78,0.29,0.63,0.53,0.67,0.72,0.8,0.35,0.49,0.73,0.18,0.48,0.35,0.6,0.77
73,0.66,0.12,0.65,0.27,0.68,0.3,0.5,0.27,0.64,0.08,0.1,0.11,0.69,0.87,1.0,0.37,0.86
74,0.02,0.51,0.02,0.98,0.88,0.37,0.93,0.55,0.55,0.22,0.33,0.75,0.64,0.3,0.49,0.72,0.37
75,0.02,0.21,0.1,0.74,0.58,0.59,0.83,0.3,0.68,0.14,0.16,0.45,0.15,0.81,0.3,0.21,0.51
76,0.92,0.16,0.82,0.9,0.98,0.31,0.48,0.47,0.27,0.75,0.47,0.29,0.82,0.13,0.45,0.95,0.74
77,0.33,0.74,0.34,0.21,0.6,0.52,0.08,0.51,0.0,0.82,0.97,0.16,0.71,0.5,0.83,0.75,0.54
78,0.98,0.49,0.28,0.53,0.75,0.23,0.85,0.67,0.41,0.87,0.17,0.78,0.52,0.22,0.6,0.31,0.8
79,0.79,0.16,0.48,0.48,0.6,0.26,0.34,0.72,0.67,0.9,0.38,0.76,0.56,0.66,0.93,0.17,0.23
80,0.73,0.76,0.23,0.2,1.0,0.51,0.47,0.06,0.06,0.16,0.84,0.5,0.99,0.23,0.42,0.07,0.87
81,0.43,0.43,0.78,0.55,0.2,0.28,0.64,0.57,0.26,0.68,0.85,0.2,0.06,0.38,0.48,0.56,0.55
82,0.59,0.86,0.94,0.6,0.35,0.31,0.87,0.62,0.89,0.24,0.87,0.15,0.12,0.79,0.2,0.51,0.41
83,0.59,0.08,0.37,0.02,0.0,0.7,0.63,0.73,0.39,0.59,0.76,0.79,0.7,0.68,0.99,0.26,0.29
84,0.29,0.74,0.75,0.44,0.84,0.91,0.62,0.21,0.11,0.28,0.66,0.74,0.34,0.74,0.95,0.13,0.17
85,0.0,0.1,0.69,0.09,0.28,0.19,0.72,0.49,0.05,0.49,0.84,0.38,0.14,0.29,0.04,0.72,0.58
86,0.2,0.42,0.94,0.75,0.61,0.88,0.66,0.4,0.09,0.23,0.91,0.94,0.92,0.54,0.46,0.93,0.18
87,0.44,0.67,0.15,0.52,0.63,0.24,0.26,0.32,0.88,0.77,0.54,0.57,0.41,0.87,0.35,0.04,0.74
88,0.22,0.18,0.94,0.74,0.12,0.67,0.9,0.89,0.6,0.4,0.87,0.52,0.86,0.31,0.59,0.12,0.73
89,0.4,0.13,0.1,0.21,0.61,0.84,0.07,0.71,0.41,0.64,0.59,0.84,0.67,0.97,0.23,0.53,0.37
90,0.97,0.11,0.05,0.11,0.83,0.76,0.54,0.43,0.82,0.89,0.06,0.67,0.96,0.77,0.37,0.67,0.94
91,0.54,0.13,0.8,0.87,0.98,0.9,0.16,0.92,0.7,0.26,0.68,0.56,0.4,0.65,0.18,0.33,0.5
92,0.92,0.02,0.19,0.96,0.07,0.81,0.75,0.75,0.42,0.68,0.71,0.92,0.36,0.98,0.82,0.7,0.01
93,0.57,0.96,0.4,0.07,0.6,0.02,0.9,0.26,0.96,0.13,0.11,0.68,0.79,0.59,0.31,0.65,0.02
94,0.77,0.03,0.6,0.28,0.18,0.1,0.29,0.46,0.09,0.14,0.26,0.96,0.47,0.91,0.86,0.61,0.87
95,0.38,0.73,0.64,0.13,0.28,0.09,0.92,0.65,0.1,0.55,0.16,0.47,0.71,0.53,0.97,0.38,0.8
96,0.17,0.94,0.53,0.68,0.31,0.92,0.67,0.45,0.82,0.9,0.09,0.83,0.45,0.37,0.79,0.42,0.83
97,0.26,0.42,0.44,0.91,0.32,0.49,0.89,0.42,0.49,0.02,0.6,0.19,1.0,0.33,0.49,0.92,0.72
98,0.07,0.27,0.67,0.06,0.29,0.14,0.31,0.28,0.14,0.23,0.02,1.0,0.57,0.88,0.04,0.37,0.84
99,0.39,0.96,0.33,0.55,0.97,0.91,0.83,0.82,0.72,0.35,0.41,0.47,0.83,0.96,0.54,0.81,0.76
100,0.97,0.7,0.2,0.97,0.61,0.64,0.64,0.24,0.07,0.96,0.88,0.47,0.82,0.79,0.32,0.15,0.33
101,0.21,0.14,0.22,0.69,0.18,1.0,0.29,0.65,0.44,0.41,0.89,0.79,0.57,0.22,0.8,0.76,0.91
102,0.7,0.15,0.96,0.17,0.29,0.73,0.63,0.83,0.89,0.33,0.81,0.74,0.24,0.2,0.15,0.9,0.73
103,0.42,0.59,0.09,0.45,0.21,0.29,0.1,0.59,0.34,0.98,0.54,0.07,0.2,0.68,0.17,0.23,0.65
